0.2, 4, 51.0
0.2, 6, 70.0
0.2, 10, 110.0
0.2, 12, 131.0
0.2, 16, 171.0
0.2, 20, 211.0
0.2, 24, 252.0
0.2, 30, 313.0
0.3, 4, 51.0
0.3, 6, 71.0
0.3, 10, 115.0
0.3, 12, 134.0
0.3, 16, 177.0
0.3, 20, 215.0
0.3, 24, 256.0
0.3, 30, 319.0
0.4, 4, 54.0
0.4, 6, 74.0
0.4, 10, 116.0
0.4, 12, 138.0
0.4, 16, 184.0
0.4, 20, 224.0
0.4, 24, 268.0
0.4, 30, 332.0
0.5, 4, 56.0
0.5, 6, 82.0
0.5, 10, 128.0
0.5, 12, 146.0
0.5, 16, 192.0
0.5, 20, 239.0
0.5, 24, 289.0
0.5, 30, 358.0
0.6, 4, 65.0
0.6, 6, 87.0
0.6, 10, 141.0
0.6, 12, 168.0
0.6, 16, 216.0
0.6, 20, 274.0
0.6, 24, 313.0
0.6, 30, 409.0
0.8, 4, 102.0
0.8, 6, 131.0
0.8, 10, 231.0
0.8, 12, 282.0
0.8, 16, 331.0
0.8, 20, 445.0
0.8, 24, 502.0
0.8, 30, 648.0
